request_id,created_at,resolved_at,channel,requester_role,requester_alias,department,product_area,environment,priority,request_type,business_impact,description,steps_taken,resolution_notes,resolution_time_hours,escalated,csat_score,tags,kb_article_helpful,predicted_category,predicted_urgency,recommended_team,suggested_action
REQ-MQDZPJL9,2025-10-06 08:16,2025-10-08 15:56,Form,Manager,UserC,IT,Core Platform,UAT,Medium,How-to,Minor,Filter 'Department' returns blanks for several records. Customer is escalating due to audit deadline. Observed in UAT. User needs guidance on correct workflow.,Compared metric definitions; Checked user permissions,Root cause: Wrong filters. Re-ran ETL and confirmed dashboard values are current.,55.68,0,4.0,release;ui,1,How-to/Guidance,Critical,Customer Success,Review KB articles and escalate if needed.
REQ-YOHMI9AY,2025-10-06 08:30,2025-10-07 20:16,Email,Admin,UserB,Recruiting,Reporting,UAT,Medium,How-to,Moderate,Filter 'Department' returns blanks for several records. Repro steps available on request. Department: Recruiting. User needs guidance on correct workflow.,Validated ETL job completion; Checked user permissions,Root cause: Wrong filters. Granted missing permissions and refreshed cached aggregates.,35.78,0,,payroll;ui,0,How-to/Guidance,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-U4YTN02Y,2025-10-06 09:43,2025-10-07 07:39,Form,Admin,UserA,Finance,Reporting,UAT,Medium,Feature Request,Major,Requesting a bulk status update for onboarding tasks. Only affects a subset of users. Observed in UAT. Stakeholder requests roadmap visibility.,Documented user story; Logged request in backlog,"Root cause: New dashboard widget. Documented request, proposed interim workaround, and scheduled discovery session.",21.94,0,,release;training,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-3J3R30ME,2025-10-06 12:50,2025-10-07 01:39,Email,Director,UserC,Training,Integrations,Sandbox,High,Integration Issue,Major,Webhook deliveries are failing with 401; token may be expired. Observed in Sandbox. Customer is escalating due to audit deadline. Please verify data integrity and mappings.,Validated IP allowlist; Rotated API token,Root cause: Webhook retries failing. Rotated token and updated webhook signing secret.,12.83,0,4.0,reporting;ui,0,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-26YG3DXV,2025-10-06 18:53,2025-10-07 18:10,Email,Analyst,UserE,Operations,Reporting,Sandbox,High,Data Issue,Severe,Partial import: only 60% of rows loaded; no clear error. Customer is escalating due to audit deadline. Repro steps available on request. Please verify data integrity and mappings.,Tried UTF-8 re-export; Re-ran import with dry-run,Root cause: CSV schema mismatch. Adjusted encoding to UTF-8 and confirmed characters render correctly.,23.29,0,4.0,data-quality;security,0,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-TATJ9A3Y,2025-10-07 08:26,2025-10-07 20:31,Email,Director,UserD,Training,Onboarding,Production,Critical,Data Issue,Minor,Invoice shows wrong tier; billing contact requesting correction. Happening since last release. Only affects a subset of users. Please verify data integrity and mappings.,Confirmed billing contacts; Reviewed contract SKU list,Root cause: Seat limit exceeded. Extended trial and confirmed feature access is restored.,12.1,1,2.0,audit;data-quality,0,Billing/Invoice,Medium,Finance,Check contract SKU limit and validity.
REQ-2D5EM2VA,2025-10-07 13:15,2025-10-07 18:23,Form,Analyst,UserC,Operations,Onboarding,Production,Critical,Data Issue,Moderate,Invoice shows wrong tier; billing contact requesting correction. Repro steps available on request. Only affects a subset of users. Please verify data integrity and mappings.,Reviewed contract SKU list; Confirmed billing contacts,Root cause: Wrong SKU assigned. Extended trial and confirmed feature access is restored.,5.14,0,,release;reporting,1,Billing/Invoice,Medium,Finance,Check contract SKU limit and validity.
REQ-ZDUXLEZ8,2025-10-07 18:41,2025-10-09 10:02,Jira,Manager,UserC,IT,Talent Acquisition,Production,High,Data Issue,Major,Partial import: only 60% of rows loaded; no clear error. Observed in Production. Customer is escalating due to audit deadline. Please verify data integrity and mappings.,Tried UTF-8 re-export; Re-ran import with dry-run,Root cause: CSV schema mismatch. Adjusted encoding to UTF-8 and confirmed characters render correctly.,39.36,1,1.0,security;training,0,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-S5HRQAP5,2025-10-08 12:08,2025-10-08 20:19,Email,Director,UserE,IT,Reporting,Production,Critical,Bug,Moderate,Spike in 5xx errors for onboarding endpoints around 10am. Only affects a subset of users. Observed in Production. Reproducible with standard test account.,Checked DB slow queries; Validated cache hit rates,Root cause: Large query timeouts. Optimized query plan and increased cache TTL for hot paths. Performed post-incident review and added monitoring alert.,8.2,1,4.0,payroll;urgent,1,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-FQJJA26Y,2025-10-08 12:22,2025-10-09 18:11,Email,Admin,UserE,Operations,Reporting,Production,Low,Data Issue,Minor,Feature is grayed out but contract includes it; entitlement mismatch. Repro steps available on request. Only affects a subset of users. Please verify data integrity and mappings.,Reviewed contract SKU list; Checked subscription in admin console,Root cause: Seat limit exceeded. Extended trial and confirmed feature access is restored.,29.82,0,4.0,data-quality;urgent,0,Data Integrity,Medium,Engineering - Data,Review KB articles and escalate if needed.
REQ-2WQQPWDX,2025-10-08 15:03,2025-10-10 17:29,Email,Director,UserG,Operations,Time & Attendance,Sandbox,High,Feature Request,Minor,Requesting a bulk status update for onboarding tasks. Repro steps available on request. Happening since last release. Stakeholder requests roadmap visibility.,Identified workaround; Collected business impact,"Root cause: Custom fields. Documented request, proposed interim workaround, and scheduled discovery session.",50.44,1,5.0,security;urgent,0,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-W4UOV51Z,2025-10-08 16:19,2025-10-08 20:47,Teams,Coordinator,UserG,IT,Talent Acquisition,Sandbox,Critical,Data Issue,Major,Unable to add new users; error says seat limit reached. Only affects a subset of users. Repro steps available on request. Please verify data integrity and mappings.,Verified seat count; Reviewed contract SKU list,Root cause: Seat limit exceeded. Corrected SKU assignment and refreshed entitlements.,4.47,0,4.0,audit;integration,0,Software/Bug,High,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-WLVUNLPA,2025-10-09 12:06,2025-10-19 01:09,Email,Analyst,UserB,Recruiting,Talent Acquisition,Production,Low,Feature Request,Moderate,Would like an approval step before publishing postings. Observed in Production. Only affects a subset of users. Stakeholder requests roadmap visibility.,Collected business impact; Documented user story,Root cause: Additional approval step. Provided current roadmap guidance and alternative approach.,229.06,0,3.0,data-quality;integration,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-U9BXF445,2025-10-09 12:41,2025-10-10 19:37,Teams,Coordinator,UserF,Operations,Talent Acquisition,Production,High,Data Issue,Major,Invoice shows wrong tier; billing contact requesting correction. Customer is escalating due to audit deadline. Observed in Production. Please verify data integrity and mappings.,Checked subscription in admin console; Reviewed contract SKU list,Root cause: Wrong SKU assigned. Processed invoice correction request and notified billing.,30.94,1,,release;security,0,Billing/Invoice,Critical,Finance,Check contract SKU limit and validity.
REQ-XGAEARMS,2025-10-09 12:44,2025-10-10 14:21,Form,Director,UserE,Finance,Core Platform,Production,Medium,Feature Request,Severe,Need export in Parquet/JSON in addition to CSV. Happening since last release. Only affects a subset of users. Stakeholder requests roadmap visibility.,Documented user story; Collected business impact,Root cause: Need bulk action. Created backlog item with acceptance criteria and impact summary.,25.62,0,4.0,audit;training,0,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-0MTGLHUG,2025-10-09 14:40,2025-10-11 18:22,Teams,Coordinator,UserB,Operations,Core Platform,Sandbox,Low,Bug,Minor,Modal dialog overlaps footer on Chrome 121; can't click 'Save'. Observed in Sandbox. Department: Operations. Reproducible with standard test account.,Tried hard refresh; Verified feature flags,Root cause: Localization string overflow. Patched front-end validation logic and deployed hotfix.,51.72,0,,payroll;training,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-85E4E9OE,2025-10-09 16:03,2025-10-10 09:48,Email,Admin,UserD,Training,Reporting,Production,High,Data Issue,Severe,Unable to add new users; error says seat limit reached. Observed in Production. Department: Training. Please verify data integrity and mappings.,Reviewed contract SKU list; Checked subscription in admin console,Root cause: Trial expired. Processed invoice correction request and notified billing.,17.76,0,4.0,reporting;security,0,Software/Bug,High,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-4EIJ00HO,2025-10-10 09:10,2025-10-11 15:37,Form,Director,UserE,IT,Talent Acquisition,Production,Medium,How-to,Minor,Dashboard shows zeros for yesterday; data seems delayed. Customer is escalating due to audit deadline. Observed in Production. User needs guidance on correct workflow.,Validated ETL job completion; Compared metric definitions,Root cause: Metric definition confusion. Granted missing permissions and refreshed cached aggregates.,30.46,0,4.0,data-quality;security,1,Data Integrity,Critical,Engineering - Data,Review KB articles and escalate if needed.
REQ-HQR6F7QN,2025-10-10 11:46,2025-10-13 04:00,Teams,Analyst,UserB,Finance,Reporting,Sandbox,Medium,Feature Request,Moderate,Need custom dashboard widget for compliance tracking. Only affects a subset of users. Observed in Sandbox. Stakeholder requests roadmap visibility.,Collected business impact; Documented user story,"Root cause: Additional approval step. Documented request, proposed interim workaround, and scheduled discovery session.",64.24,0,5.0,security;urgent,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-GM32WP7I,2025-10-10 12:49,2025-10-11 06:22,Form,Coordinator,UserC,Finance,Core Platform,Production,Medium,Bug,Moderate,System intermittently times out when loading candidate profiles. Happening since last release. Department: Finance. Reproducible with standard test account.,Correlated with deployment window; Checked DB slow queries,Root cause: Memory leak. Optimized query plan and increased cache TTL for hot paths.,17.56,0,5.0,audit;reporting,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-DPOC50H2,2025-10-10 13:36,2025-10-13 01:03,Email,Director,UserD,Operations,Integrations,Production,Medium,Data Issue,Minor,Partial import: only 60% of rows loaded; no clear error. Observed in Production. Happening since last release. Please verify data integrity and mappings.,Re-ran import with dry-run; Validated CSV schema,Root cause: Duplicate keys. Normalized date formats and re-imported using updated template.,59.46,0,5.0,integration;payroll,1,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-WUXX8L2D,2025-10-10 15:38,2025-10-10 23:14,Teams,Analyst,UserA,Finance,Time & Attendance,Production,Critical,Bug,Moderate,Search is extremely slow; UI freezes during loading. Repro steps available on request. Happening since last release. Reproducible with standard test account.,Validated cache hit rates; Correlated with deployment window,Root cause: Large query timeouts. Applied rate limiting adjustments and scaled service instances. Performed post-incident review and added monitoring alert.,7.6,0,3.0,integration;urgent,1,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-X4LR9TJQ,2025-10-11 09:16,2025-10-11 22:15,Form,Manager,UserB,HR,Onboarding,Sandbox,High,Bug,Severe,Page jumps to top after editing a row in the grid. Observed in Sandbox. Only affects a subset of users. Reproducible with standard test account.,Captured console errors; Tried hard refresh,Root cause: Broken validation. Resolved CSS overflow issue; modal now renders correctly.,12.98,0,5.0,release;ui,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-VZ41NAM1,2025-10-11 10:09,2025-10-11 14:43,Jira,Analyst,UserB,IT,Reporting,Production,Critical,Access Request,Major,Users can't log in via SSO; seeing 'Invalid audience' error. Department: IT. Customer is escalating due to audit deadline.,Reset MFA for affected user; Validated SCIM provisioning logs,Root cause: Role mapping error. Fixed role mapping and re-provisioned affected users. Performed post-incident review and added monitoring alert.,4.57,1,4.0,reporting;security,0,Access Issue,Critical,IT Support,Reset MFA and verify IdP logs.
REQ-8D0TGSIW,2025-10-11 15:51,2025-10-12 02:38,Slack,Analyst,UserG,Recruiting,Integrations,Production,High,Data Issue,Major,Partial import: only 60% of rows loaded; no clear error. Observed in Production. Happening since last release. Please verify data integrity and mappings.,Sampled failing rows; Re-ran import with dry-run,Root cause: CSV schema mismatch. Adjusted encoding to UTF-8 and confirmed characters render correctly.,10.79,0,3.0,payroll;training,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-JQ52WSPO,2025-10-11 18:27,2025-10-17 23:22,Slack,Admin,UserE,Finance,Reporting,Sandbox,Low,Feature Request,Major,Need export in Parquet/JSON in addition to CSV. Repro steps available on request. Observed in Sandbox. Stakeholder requests roadmap visibility.,Identified workaround; Logged request in backlog,"Root cause: Need bulk action. Documented request, proposed interim workaround, and scheduled discovery session.",148.92,0,4.0,security;ui,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-SE3TV1ES,2025-10-12 09:19,2025-10-15 22:10,Form,Coordinator,UserF,IT,Talent Acquisition,Sandbox,Low,Bug,Moderate,Page jumps to top after editing a row in the grid. Repro steps available on request. Department: IT. Reproducible with standard test account.,Verified feature flags; Tried hard refresh,Root cause: Browser-specific rendering. Patched front-end validation logic and deployed hotfix.,84.86,0,4.0,data-quality;payroll,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-1FPE60QR,2025-10-12 10:08,2025-10-13 07:29,Teams,Manager,UserD,IT,Integrations,Production,High,Feature Request,Minor,Need export in Parquet/JSON in addition to CSV. Happening since last release. Only affects a subset of users. Stakeholder requests roadmap visibility.,Logged request in backlog; Identified workaround,Root cause: New export format. Provided current roadmap guidance and alternative approach.,21.35,1,5.0,ui;urgent,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-O20U9ISY,2025-10-12 10:27,2025-10-14 00:17,Jira,Director,UserE,IT,Talent Acquisition,Production,Medium,Access Request,Moderate,"After password reset, account is locked and cannot be unlocked. Happening since last release. Customer is escalating due to audit deadline.",Checked IdP metadata; Reviewed role mappings,Root cause: IdP attribute missing. Updated SAML configuration and re-imported IdP metadata.,37.84,0,4.0,integration;security,1,Access Issue,Critical,IT Support,Reset MFA and verify IdP logs.
REQ-MDW0FGZV,2025-10-12 13:34,2025-10-13 20:23,Email,Manager,UserC,IT,Integrations,Production,Medium,Feature Request,Minor,Need custom dashboard widget for compliance tracking. Observed in Production. Only affects a subset of users. Stakeholder requests roadmap visibility.,Collected business impact; Identified workaround,Root cause: Need bulk action. Created backlog item with acceptance criteria and impact summary.,30.83,0,,payroll;security,0,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-6MZSGIPP,2025-10-12 17:38,2025-10-14 08:28,Email,Director,UserB,HR,Time & Attendance,Sandbox,High,Bug,Major,Submit button is disabled even after all required fields are filled. Department: HR. Repro steps available on request. Reproducible with standard test account.,Captured console errors; Verified feature flags,Root cause: Localization string overflow. Resolved CSS overflow issue; modal now renders correctly.,38.84,0,4.0,audit;data-quality,1,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-UD9K9TR7,2025-10-12 18:36,2025-10-13 01:56,Email,Manager,UserF,IT,Time & Attendance,Production,Critical,Bug,Severe,System intermittently times out when loading candidate profiles. Only affects a subset of users. Department: IT. Reproducible with standard test account.,Checked DB slow queries; Reviewed APM traces,Root cause: Third-party dependency outage. Rolled back offending deployment and monitored error rates. Performed post-incident review and added monitoring alert.,7.34,1,,audit;training,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-PPFO5MN3,2025-10-12 18:40,2025-10-14 16:49,Jira,Coordinator,UserG,HR,Reporting,Production,Low,Data Issue,Minor,CSV import fails with validation errors for date fields. Observed in Production. Only affects a subset of users. Please verify data integrity and mappings.,Tried UTF-8 re-export; Sampled failing rows,Root cause: CSV schema mismatch. Removed duplicate keys and reprocessed import batch.,46.15,0,,audit;payroll,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-T7D5J60F,2025-10-13 09:34,2025-10-13 16:20,Form,Coordinator,UserE,IT,Onboarding,Production,Critical,Data Issue,Severe,CSV import fails with validation errors for date fields. Only affects a subset of users. Observed in Production. Please verify data integrity and mappings.,Sampled failing rows; Validated CSV schema,Root cause: Bad date formats. Adjusted encoding to UTF-8 and confirmed characters render correctly.,6.77,1,2.0,audit;ui,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-39MOFT6Y,2025-10-13 18:33,2025-10-14 17:41,Email,Admin,UserB,Finance,Integrations,Production,Medium,Integration Issue,Moderate,API calls to /v2/employees return 429; rate-limited unexpectedly. Department: Finance. Happening since last release. Please verify data integrity and mappings.,Rotated API token; Reviewed webhook logs,Root cause: API token expired. Rotated token and updated webhook signing secret.,23.14,0,4.0,reporting;urgent,0,Data Integrity,Medium,Engineering - Data,Review KB articles and escalate if needed.
REQ-421VMEFO,2025-10-14 09:31,2025-10-17 13:05,Form,Analyst,UserF,HR,Talent Acquisition,Production,Low,Data Issue,Moderate,Unable to add new users; error says seat limit reached. Only affects a subset of users. Department: HR. Please verify data integrity and mappings.,Verified seat count; Confirmed billing contacts,Root cause: Trial expired. Processed invoice correction request and notified billing.,75.58,0,5.0,reporting;ui,0,Software/Bug,High,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-Q2L48C1C,2025-10-14 12:17,2025-10-19 12:56,Form,Coordinator,UserD,HR,Reporting,Production,Low,How-to,Moderate,Monthly headcount report doesn't match payroll numbers. Only affects a subset of users. Happening since last release. User needs guidance on correct workflow.,Compared metric definitions; Reproduced report with same filters,Root cause: Metric definition confusion. Clarified metric definition and updated report filters.,120.65,0,3.0,data-quality;training,0,How-to/Guidance,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-ZPQK51FP,2025-10-14 18:47,2025-10-16 16:55,Slack,Director,UserA,HR,Integrations,Production,Medium,Bug,Minor,Search is extremely slow; UI freezes during loading. Happening since last release. Customer is escalating due to audit deadline. Reproducible with standard test account.,Reviewed APM traces; Correlated with deployment window,Root cause: Rate limiting. Applied rate limiting adjustments and scaled service instances.,46.15,0,,ui;urgent,0,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-TEA7187F,2025-10-15 08:20,2025-10-17 21:38,Slack,Manager,UserC,Finance,Reporting,Sandbox,Low,Bug,Moderate,Validation error message is hidden behind the sidebar. Only affects a subset of users. Customer is escalating due to audit deadline. Reproducible with standard test account.,Tested in Chrome/Edge; Tried hard refresh,Root cause: Broken validation. Resolved CSS overflow issue; modal now renders correctly.,61.31,0,5.0,data-quality;ui,0,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-KADEVVHY,2025-10-15 09:01,2025-10-16 10:09,Email,Analyst,UserD,IT,Reporting,Production,Medium,Integration Issue,Major,Webhook deliveries are failing with 401; token may be expired. Only affects a subset of users. Happening since last release. Please verify data integrity and mappings.,Rotated API token; Checked rate limit headers,Root cause: IP allowlist blocking. Added new IP range to allowlist and verified connectivity.,25.14,0,,payroll;training,1,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-T7PZE9VI,2025-10-15 14:55,2025-10-18 21:21,Jira,Admin,UserF,Recruiting,Onboarding,Production,Low,Feature Request,Severe,Need custom dashboard widget for compliance tracking. Department: Recruiting. Happening since last release. Stakeholder requests roadmap visibility.,Collected business impact; Identified workaround,Root cause: Additional approval step. Provided current roadmap guidance and alternative approach.,78.44,0,4.0,audit;data-quality,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-4IO9P462,2025-10-15 16:08,2025-10-21 22:41,Jira,Admin,UserC,Operations,Onboarding,Sandbox,Low,Bug,Minor,Validation error message is hidden behind the sidebar. Repro steps available on request. Happening since last release. Reproducible with standard test account.,Tested in Chrome/Edge; Captured console errors,Root cause: Misaligned modal. Patched front-end validation logic and deployed hotfix.,150.56,0,5.0,data-quality;training,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-6YE0A4AB,2025-10-16 08:21,2025-10-17 05:11,Jira,Manager,UserC,IT,Reporting,Sandbox,High,How-to,Minor,Monthly headcount report doesn't match payroll numbers. Department: IT. Customer is escalating due to audit deadline. User needs guidance on correct workflow.,Checked user permissions; Reproduced report with same filters,Root cause: Metric definition confusion. Re-ran ETL and confirmed dashboard values are current.,20.84,0,3.0,release;training,0,How-to/Guidance,Critical,Customer Success,Review KB articles and escalate if needed.
REQ-NV01ZDER,2025-10-16 09:30,2025-10-18 12:04,Form,Director,UserD,Recruiting,Onboarding,Sandbox,Medium,Feature Request,Major,Requesting a bulk status update for onboarding tasks. Customer is escalating due to audit deadline. Department: Recruiting. Stakeholder requests roadmap visibility.,Logged request in backlog; Collected business impact,Root cause: Need bulk action. Provided current roadmap guidance and alternative approach.,50.57,0,4.0,data-quality;urgent,0,Feature Request,Critical,Customer Success,Review KB articles and escalate if needed.
REQ-VDJNV07O,2025-10-16 11:28,2025-10-17 00:27,Teams,Analyst,UserG,IT,Core Platform,Production,High,Bug,Minor,Page jumps to top after editing a row in the grid. Observed in Production. Repro steps available on request. Reproducible with standard test account.,Tested in Chrome/Edge; Verified feature flags,Root cause: Misaligned modal. Fixed regression and added test coverage for the workflow.,13.0,0,,payroll;release,0,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-V0EC14M2,2025-10-16 18:53,2025-10-18 01:51,Email,Admin,UserE,HR,Reporting,UAT,Medium,Bug,Severe,Validation error message is hidden behind the sidebar. Repro steps available on request. Observed in UAT. Reproducible with standard test account.,Verified feature flags; Captured console errors,Root cause: Misaligned modal. Patched front-end validation logic and deployed hotfix.,30.97,0,3.0,release;security,1,Software/Bug,Medium,Engineering - Core Platform,Check logs for stack traces and known regressions.
